Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Body,Category,Summary
GeoJSONL,geojsonl,61672c73ba256802311968e5,61672fc2a96ef10d805a23d9,Wed Oct 13 2021 19:13:06 GMT+0000 (Coordinated Universal Time),Thu May 19 2022 21:58:06 GMT+0000 (Coordinated Universal Time),Thu May 19 2022 21:58:31 GMT+0000 (Coordinated Universal Time),"<p>GeoJSONL is a variation on the <a href=""/documentation/geojson"">GeoJSON</a> format that puts each Feature object on its own line, so that GeoJSONL files can be read more efficiently by certain programs. Placemark always reads and writes files from start to end, so the performance differences attributed to GeoJSONL do not apply. But if you are interacting with a service or program that produces or expects GeoJSONL, you can import and export this file format.</p><p>GeoJSONL is also called <a href=""https://gdal.org/drivers/vector/geojsonseq.html"">GeoJSONSeq</a>, <a href=""https://github.com/geojson/geojson-text-sequences"">GeoJSON Text Sequences</a>, and ndgeojson.</p><h4>References</h4><ul><li><a href=""https://stevage.github.io/ndgeojson/"">Newline-delimited GeoJSON</a></li><li><a href=""https://www.interline.io/blog/geojsonl-extracts/"">GeoJSONL: An optimized format for large geographic datasets</a></li></ul>",formats,A version of the GeoJSON format that is optimized for big datasets.
Geometry support,geometry-support,61672c73ba256802311968e5,617560b8bbd7ca36b639107b,Sun Oct 24 2021 13:33:44 GMT+0000 (Coordinated Universal Time),Sat Oct 30 2021 13:00:20 GMT+0000 (Coordinated Universal Time),Sat Oct 30 2021 13:02:32 GMT+0000 (Coordinated Universal Time),"<p>Placemark aims to support the full range of geometries in <a href=""/documentation/geojson"">GeoJSON</a>, with possible extensions in the future. These include:</p><ul><li>Points &amp;&nbsp;MultiPoints</li><li>Polygons &amp;&nbsp;MultiPolygons</li><li>LineStrings &amp;&nbsp;MultiLineStrings</li><li>GeometryCollection</li></ul><p>GeoJSON doesn't include support for a few other sorts of geometries, including circles and curves, and neither does Placemark at the present - if these things are important to you, please contact us or ask in the community!</p>",guides,"About the types of geometries that Placemark supports - including Point, LineString, and Polygon."
GeoTIFF,geotiff,61672c73ba256802311968e5,628b837fc7ac456ce7592a68,Mon May 23 2022 12:52:15 GMT+0000 (Coordinated Universal Time),Mon May 23 2022 12:52:15 GMT+0000 (Coordinated Universal Time),Mon May 23 2022 12:52:25 GMT+0000 (Coordinated Universal Time),"<p>The GeoTIFF&nbsp;file format is an extension of the established <a href=""https://en.wikipedia.org/wiki/TIFF"">TIFF format</a> that adds the ability for the image data to be georeferenced:&nbsp;for the corners of the image to be assigned geographical locations so that it can be placed on a map.</p><p>GeoTIFF&nbsp;is a <a href=""/documentation/raster-data"">raster file format</a> - storing images, rather than shapes. Placemark primarily deals in vector data - data that's composed of shapes. So GeoTIFF import is relatively limited:&nbsp;Placemark can read a GeoTIFF&nbsp;image and extract the geographical bounds of the image, which can be useful for quickly knowing where a GeoTIFF&nbsp;will be located on a map. The tool does not export or edit GeoTIFFs.</p><p>GeoTIFF support is similar to <a href=""/documentation/exif"">EXIF</a>&nbsp;support in Placemark, though GeoTIFFs contain bounding boxes and EXIF data only includes a single point for where the photo was taken.</p><h4>References</h4><ul><li>‍<a href=""https://en.wikipedia.org/wiki/GeoTIFF"">GeoTIFF</a></li></ul><h4>Free tools for processing GeoTIFF&nbsp;files</h4><ul><li><a href=""https://qgis.org/en/site/"">QGIS</a></li><li><a href=""https://gdal.org/"">GDAL</a></li></ul>",formats,"GeoTIFF is a format for spatial raster data, like images from satellites or airplanes. Placemark supports importing the bounding box from a GeoTIFF image, and there are many other tools to process GeoTIFF images more completely."
GPX,gpx,61672c73ba256802311968e5,61672fd73328587e1f2d713f,Wed Oct 13 2021 19:13:27 GMT+0000 (Coordinated Universal Time),Thu May 19 2022 21:54:01 GMT+0000 (Coordinated Universal Time),Thu May 19 2022 21:58:31 GMT+0000 (Coordinated Universal Time),"<p>GPX, or <em>GPX Exchange Format</em>, is a common format for GPS units used by hikers and in other outdoor sports. Placemark supports importing GPX files along with all of their associated data, which can include things like altitude readings along a path.</p><h4>Technical details</h4><p>The Placemark team maintains and uses the <a href=""https://github.com/placemark/togeojson"">toGeoJSON</a> JavaScript library to import GPX files.</p><h4>References</h4><ul><li><a href=""https://en.wikipedia.org/wiki/GPS_Exchange_Format"">GPX on Wikipedia</a></li></ul>",,A fitness data format popular with hikers and runners.
GTFS,gtfs,61672c73ba256802311968e5,616aee31ac007b47d6ea82be,Sat Oct 16 2021 15:22:25 GMT+0000 (Coordinated Universal Time),Sat Oct 16 2021 15:41:35 GMT+0000 (Coordinated Universal Time),Sat Oct 16 2021 15:45:34 GMT+0000 (Coordinated Universal Time),"<p>GTFS&nbsp;is a format specialized for public transit routes &amp;&nbsp;schedules, like bus lines, subways, commuter rail, and other types of transit that covers the same route every day. As such, it's it's a format for both time and geospatial attributes. Placemark currently handles the geospatial part of GTFS - specifically, the shapes.txt file.</p><ul><li><a href=""https://en.wikipedia.org/wiki/General_Transit_Feed_Specification"">GTFS</a>&nbsp;on Wikipedia</li></ul>",formats,A geospatial format specialized for public transit.
IDs,ids,61672c73ba256802311968e5,626f1a3fd608a4d33ba472ba,Sun May 01 2022 23:39:43 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 22:37:09 GMT+0000 (Coordinated Universal Time),Wed Aug 24 2022 22:37:28 GMT+0000 (Coordinated Universal Time),"<p id="""">Placemark supports an <strong id="""">id</strong> for every feature. This is in accordance with the <a href=""https://datatracker.ietf.org/doc/html/rfc7946#section-3.2"" id="""">GeoJSON&nbsp;""id"" member</a>, which can either be a string or a number value. It's recommended that ids are unique, but this isn't enforced, because GeoJSON documents with duplicate ids are valid.</p><h4 id="""">Formats</h4><ul id=""""><li id="""">id properties in incoming GeoJSON&nbsp;data are preserved.</li><li id="""">Export to <a href=""/documentation/kml"" id="""">KML</a>,&nbsp;<a href=""/documentation/geojson"" id="""">GeoJSON</a>, and <a href=""/documentation/geojsonl"" id="""">GeoJSONL</a> formats will maintain IDs.</li></ul><h4 id="""">System IDs</h4><p id="""">Every feature also has a <strong id="""">system ID</strong>, which is guaranteed to be unique across all of Placemark: this is a UUID. System IDs can't be updated or controlled - they're created when features are added. You can use system IDs in order to refer to features at the API&nbsp;level - every feature has its own endpoint in the <a href=""/documentation/placemark-rest-api"" id="""">REST&nbsp;API</a>.</p><p id="""">You can optionally include System IDs in <a href=""/documentation/geojson"" id="""">GeoJSON</a> exports by selecting the option in the export dialog.</p><h4>User vs System IDs</h4><p>User IDs:</p><ul><li>Can be set to any string or number value that you want.</li><li>Are at the root level of features and are not in the properties object, so you can have both an ID on the feature and an ""id""&nbsp;property.</li><li>Can be imported &amp; exported and are preserved.</li></ul><p>System IDs:</p><ul><li>Are fixed and not editable.</li><li>Can be used in Placemark's APIs to specify a particular feature.</li><li>Are in the properties object when they're exported: they are the property ""@id"".</li></ul><h4>Example</h4><div></div>",guides,"Features can have two IDs: your IDs and System IDs. You can use IDs in the REST API, imports, and exports to identify features."
Importing,importing,61672c73ba256802311968e5,61672fe464da60b83b18cc2c,Wed Oct 13 2021 19:13:40 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 18:59:35 GMT+0000 (Coordinated Universal Time),Fri Apr 22 2022 18:59:42 GMT+0000 (Coordinated Universal Time),"<p>Placemark supports a wide variety of standard geospatial data formats, and a few different ways of importing them onto the map.</p><p>To import a file you can:</p><ul><li>Click the menu in the top-left and select <strong>Open…</strong>. This will let you open a file from your computer.</li><li>Click the menu in the top-left and click <strong>Paste text</strong>. This will open a dialog that lets you add data from text. This is often useful if you’re importing a small text file like a <a href=""/documentation/csv"">CSV</a> and want to copy it into the map without saving it as a file.</li><li>Drag the file from a folder on your computer onto the map. This should show a temporary ""Drop here"" note. When you drop the file on the map, you'll see the import dialog.</li></ul><p>You can import <strong>multiple files</strong> by dropping multiple files on the map, or selecting multiple files through the <strong>Open…</strong>option! You'll need to click-through the Import dialog for each file, just in case a particular file has different import options.</p>",guides,"Pulling text, files, and API data onto the map."
Importing addresses,importing-addresses,61672c73ba256802311968e5,629fc6e14d02f756f81b916f,Tue Jun 07 2022 21:45:05 GMT+0000 (Coordinated Universal Time),Tue Jun 07 2022 21:47:25 GMT+0000 (Coordinated Universal Time),Mon Jun 13 2022 14:06:45 GMT+0000 (Coordinated Universal Time),"<p>Placemark supports importing addresses from <a href=""/documentation/csv"">CSV</a> and <a href=""/documentation/excel"">XLSX</a>&nbsp;files. This is a common kind of data: say, a list of libraries with addresses rather than longitude, latitude values. We hope that this functionality is useful, but there are some important notes.</p><p>Addresses can be in two forms:</p><ul><li>As a <strong>single column</strong>, combined. For example - <strong>1600 Pennsylvania Avenue NW, Washington, D.C.</strong></li><li>In multiple <strong>structured</strong> columns. For example, Address:&nbsp;<strong>1600 Pennsylvania Avenue NW</strong>, City: <strong>Washington, D.C.</strong></li></ul><h4>If your data is already structured in multiple columns, use the structured import</h4><p>Giving the geocoder the information that, ""Maryland"" is the state you're looking in rather than the name of a street or a point of interest will make geocoding results much more accurate.</p><h4>Try to clean and fix your data first</h4><p>When using addresses in import, try to clean your data and include as much information as possible. Even though we as people know that, say, ""1600 Pennsylvania Avenue"" is the White House's address, there are two different places with that address in Washington DC, plus locations with the same address in Baltimore, Brooklyn, and Pennsylvania.</p><h4>Be careful of missing data</h4><p>Another thing you'll see in address datasets is missing values. A volunteer might write ""No Address""&nbsp;for rows without an address, or worse, something like ""Somewhere in Maryland"". These, of course, aren't really places, and Placemark will produce features with null geometries given these inputs.</p>",guides,"Importing map data from addresses in CSV or Excel files is really powerful, but address are amongst the trickiest kinds of data. Important notes for you to go forward."
Joining data,joining-data,61672c73ba256802311968e5,62e3fcdfeaa8c9c35a20c450,Fri Jul 29 2022 15:29:35 GMT+0000 (Coordinated Universal Time),Fri Jul 29 2022 19:19:20 GMT+0000 (Coordinated Universal Time),Fri Jul 29 2022 19:57:43 GMT+0000 (Coordinated Universal Time),"<p id="""">Placemark's ability to join data allows you to put new datasets on the map, even if they don't have coordinates. To elaborate, let's say you want to show a map of US&nbsp;States with their average household incomes. It's reasonably simple to find geospatial data with the shapes of the US States by <a href=""https://www.google.com/search?q=us+states+geojson"" id="""">searching for ""us states geojson""</a>, and possible to find a CSV file of state demographic data, including income. But it's pretty hard to find an existing map data file that has both the shape of the states <strong id="""">and</strong> the income data as properties.</p><p id="""">In this way, you can often find geospatial data and tabular data that corresponds to the shapes in the geospatial data. What's missing is the ability to combine the two. That's what joining does.</p><h4 id="""">Requirements</h4><p id="""">To use this technique, you'll need two datasets: a geospatial dataset, like a GeoJSON file, or any of the other files supported with <a href=""/documentation/importing"" id="""">importing</a>, and a non-geospatial file in CSV or Excel formats.</p><p id="""">And very importantly, they need a <strong id="""">matching column</strong>. For example, a US&nbsp;States dataset might have state abbreviations like ""NY""&nbsp;and ""CA"", or a countries dataset would have ISO&nbsp;alpha-3 codes for countries, like ""USA""&nbsp;and ""CHN"". What's essential is that this column matches exactly between features on the map and in the dataset that you're joining to the map.</p><h4 id="""">How to join</h4><p id="""">Okay, so you've got the files. Now you can join data this way:</p><ol start="""" id=""""><li id="""">First, import the geospatial file to the map as you would normally.</li><li id="""">Then start importing the CSV of the non-geospatial data.</li><li id="""">Select ""<strong id="""">Join to geodata</strong>"" under the ""<strong id="""">Kind</strong>""&nbsp;option of the Import dialog.</li><li id="""">Select the columns to join against, both in the file to import and the map features.</li><li id="""">Click import.</li></ol><h4>Tutorial</h4><div></div><p>Want to follow this tutorial exactly?&nbsp;You can <a href=""https://gist.github.com/tmcw/d75fce82504b47819e8dd30a3531840d"">download the files I&nbsp;used from this page (click ""Download ZIP"" in the top right).</a></p><h4 id="""">What joining does</h4><p id="""">Joining matches rows in a CSV or XLS file to features on the map, by matching a specific column. When a row in the imported file matches a map feature, the data from that row is joined to the map feature: the data is merged with the feature's properties. If multiple map features match the same row, all of the map features will be joined. For example, if you're joining to countries based on the state's name, and an island nation is represented as multiple distinct Polygon geometries in multiple features (instead of being represented as a single MultiPolygon), then all of the matching features will receive the new properties.</p><p id="""">When a row doesn't match any map feature, the join operation will report this and list the non-matching rows.</p><p id="""">Joined properties that have the same name as existing properties will overwrite the existing properties.</p>",guides,"Joining lets you combine geospatial and non-geospatial data, thus multiplying the different datasets you can work with in Placemark."
KML,kml,61672c73ba256802311968e5,61672ff1dc4d7323329a3d22,Wed Oct 13 2021 19:13:53 GMT+0000 (Coordinated Universal Time),Mon May 23 2022 17:47:13 GMT+0000 (Coordinated Universal Time),Mon May 23 2022 17:52:07 GMT+0000 (Coordinated Universal Time),"<p>KML is a format for geospatial data. It's based on XML in the same way that <a href=""/documentation/geojson"">GeoJSON</a> is based on JSON: a KML file is a particular structure and kind of XML file. KML was created by Keyhole, a company Google acquired and turned into Google Earth, and is now maintained by Google and the OGC.</p><p>KML has some unique features, mostly by virtue of being designed with Google Earth in mind. It can store styles alongside geometry. It can store ""flight paths"" for automatically panning and sweeping through maps. KML files can also contain NetworkLink objects, which let them refer to other KML files that could be on the internet or local.</p><p>KML&nbsp;can contain styles for features - a line in KML can be ""red"" or ""blue"". This is a relatively unique feature in geospatial data - see the <a href=""/format-matrix"">format feature matrix</a> for official style support. KML&nbsp;styles are transformed into <a href=""/documentation/simplestyle"">simplestyle</a> when they're imported into Placemark and you can view them by changing your map's <a href=""/documentation/visualization"">visualization</a> mode to simplestyle.</p><h4>Technical details</h4><p>The Placemark team maintains and uses the <a href=""https://github.com/placemark/togeojson"">toGeoJSON</a> JavaScript library to import KML files. KML files can be both imported &amp;&nbsp;exported with Placemark.</p><h4>References</h4><ul><li><a href=""https://developers.google.com/kml"">KML Reference on Google</a></li></ul>",formats,Google Earth's native format and a popular export from consumer mapping tools.
KMZ,kmz,61672c73ba256802311968e5,62f3093b34986752d228da06,Wed Aug 10 2022 01:26:19 GMT+0000 (Coordinated Universal Time),Wed Aug 10 2022 01:26:19 GMT+0000 (Coordinated Universal Time),Wed Aug 10 2022 01:26:50 GMT+0000 (Coordinated Universal Time),"<p id="""">KMZ is a format closely related to <a href=""/documentation/kml"" id="""">KML</a> which in practice is KML within a ZIP file. KMZ files are, in fact, ZIP&nbsp;files, and the benefit of KMZ is compression and the ability to store other files in the package.</p><p id="""">Placemark supports importing &amp;&nbsp;exporting KMZ files, but it should be noted that any additional files in imported KMZ&nbsp;files will be ignored.</p><h4>References</h4><ul><li><a href=""https://developers.google.com/kml/documentation/kmzarchives"">KMZ on Google's Reference Site</a></li></ul>",formats,KMZ is a variation of KML which stores the geospatial data within a ZIP archive.
OSM,osm,61672c73ba256802311968e5,62b0c40a2aca611843b2fd1f,Mon Jun 20 2022 19:01:30 GMT+0000 (Coordinated Universal Time),Mon Jun 20 2022 19:01:30 GMT+0000 (Coordinated Universal Time),Mon Jun 20 2022 19:01:36 GMT+0000 (Coordinated Universal Time),"<p>Placemark supports the OpenStreetMap XML&nbsp;format for imports. You can export this format from<a href=""https://www.openstreetmap.org/""> OpenStreetMap's website</a>, and Placemark will convert OpenStreetMap's tags into keys and values in the editor.</p><p>Remember that OpenStreetMap data typically has <a href=""https://www.openstreetmap.org/copyright"">a license attached - the ODbL</a>. It's recommended to check out the license terms and add attribution if necessary.</p>",formats,"The OpenStreetMap XML format lets you import data from the OpenStreetMap project, which includes things like roads, houses, and points of interest."
